time,ax,ay,az
6.054834560E-1,-1.231628418E0,9.667327881E0,1.791824341E0
6.079858980E-1,-1.178955078E0,9.767883301E0,1.784652710E0
6.104883390E-1,-1.111923218E0,9.770278931E0,1.782257080E0
6.129907810E-1,-1.104736328E0,9.767883301E0,1.791824341E0
6.154932220E-1,-1.056854248E0,9.755920410E0,1.705642700E0
6.179956630E-1,-1.028121948E0,9.751129150E0,1.593109131E0
6.204981050E-1,-9.826354980E-1,9.758316040E0,1.526077271E0
6.230005460E-1,-9.730529785E-1,9.815765381E0,1.399185181E0
6.255029880E-1,-9.586944580E-1,9.889999390E0,1.265106201E0
6.280054290E-1,-1.001785278E0,9.913940430E0,1.200469971E0
6.305078700E-1,-1.037704468E0,9.980972290E0,1.121459961E0
6.330103120E-1,-1.016159058E0,1.005998230E1,1.083145142E0
6.355127530E-1,-1.013763428E0,1.011984253E1,1.114273071E0
6.380151950E-1,-9.730529785E-1,1.009828186E1,1.114273071E0
6.405176360E-1,-1.006576538E0,1.010786438E1,1.181304932E0
6.430200770E-1,-9.850311279E-1,1.010786438E1,1.169342041E0
6.455225190E-1,-9.730529785E-1,1.016293335E1,1.162155151E0
6.480249600E-1,-9.395446777E-1,1.010067749E1,1.188491821E0
6.505274020E-1,-9.227752686E-1,1.007434082E1,1.181304932E0
6.530298430E-1,-9.227752686E-1,1.006237793E1,1.162155151E0
6.555322840E-1,-8.892669678E-1,1.001689148E1,1.171737671E0
6.580347260E-1,-8.796844482E-1,9.945053101E0,1.233978271E0
6.605371670E-1,-8.964385986E-1,9.889999390E0,1.277084351E0
6.630396090E-1,-8.844757080E-1,9.827743530E0,1.327362061E0
6.655420500E-1,-8.389892578E-1,9.782257080E0,1.245956421E0
6.680444910E-1,-8.222198486E-1,9.705642700E0,1.087936401E0
6.705469330E-1,-7.719421387E-1,9.633819580E0,1.008926392E0
6.730493740E-1,-8.006744385E-1,9.578750610E0,1.001739502E0
6.755518160E-1,-7.910919189E-1,9.585922241E0,1.023284912E0
6.780542570E-1,-7.216644287E-1,9.516494751E0,1.013717651E0
6.805566990E-1,-6.641998291E-1,9.456649780E0,1.008926392E0
6.830591400E-1,-6.139221191E-1,9.444671631E0,1.085540771E0
6.855615810E-1,-5.109710693E-1,9.396789551E0,1.018508911E0
6.880640230E-1,-4.223937988E-1,9.423126221E0,8.700561523E-1
6.905664640E-1,-4.176025391E-1,9.447067261E0,6.928863525E-1
6.930689060E-1,-4.367523193E-1,9.506927490E0,6.593780518E-1
6.955713470E-1,-4.223937988E-1,9.629028320E0,6.043090820E-1
6.980737880E-1,-4.463348389E-1,9.772674561E0,5.803680420E-1
7.005762300E-1,-4.822540283E-1,9.894775391E0,5.348815918E-1
7.030786710E-1,-5.325317383E-1,1.005998230E1,5.013580322E-1
7.055811130E-1,-6.235046387E-1,1.021560669E1,4.989624023E-1
7.080835540E-1,-5.828094482E-1,1.028742981E1,4.846038818E-1
7.105859950E-1,-5.540771484E-1,1.034249878E1,5.779724121E-1
7.130884370E-1,-5.540771484E-1,1.037362671E1,5.564270020E-1
7.155603610E-1,-5.037994385E-1,1.030657959E1,6.713409424E-1
7.180628020E-1,-4.535217285E-1,1.024673462E1,7.623291016E-1
7.205652430E-1,-4.630889893E-1,1.017729187E1,7.623291016E-1
7.230676850E-1,-4.463348389E-1,1.006716919E1,6.976776123E-1
7.255701260E-1,-4.726715088E-1,9.995330811E0,7.120513916E-1
7.280725680E-1,-5.277404785E-1,9.899566650E0,6.497955322E-1
