time,mx,my,mz
3.989668211E1,-2.688751221E1,-4.517364502E1,1.023101807E1
3.990666136E1,-2.718811035E1,-4.487457275E1,1.157989502E1
3.991664061E1,-2.733764648E1,-4.472351074E1,1.038055420E1
3.992661986E1,-2.718811035E1,-4.517364502E1,8.430480957E0
3.993659910E1,-2.658843994E1,-4.502410889E1,1.068115234E1
3.994657835E1,-2.628784180E1,-4.397430420E1,8.880615234E0
3.995655760E1,-2.628784180E1,-4.502410889E1,9.330749512E0
3.996653685E1,-2.523803711E1,-4.397430420E1,9.330749512E0
3.997651610E1,-2.553863525E1,-4.427337646E1,8.580017090E0
3.998649534E1,-2.523803711E1,-4.472351074E1,8.580017090E0
3.999647459E1,-2.703857422E1,-4.397430420E1,8.580017090E0
4.000645384E1,-2.553863525E1,-4.607391357E1,7.380676270E0
4.001643309E1,-2.403869629E1,-4.547424316E1,6.781005859E0
4.002641234E1,-2.778778076E1,-4.547424316E1,9.330749512E0
4.003639158E1,-2.478790283E1,-4.352416992E1,8.580017090E0
4.004640135E1,-2.553863525E1,-4.547424316E1,8.580017090E0
4.005635008E1,-2.643737793E1,-4.517364502E1,7.231140137E0
4.006629881E1,-2.553863525E1,-4.502410889E1,7.830810547E0
4.007630858E1,-2.763824463E1,-4.367370605E1,9.030151367E0
4.008628782E1,-2.628784180E1,-4.397430420E1,8.580017090E0
4.009629759E1,-2.448730469E1,-4.427337646E1,8.580017090E0
4.010627684E1,-2.553863525E1,-4.472351074E1,7.830810547E0
4.011622557E1,-2.733764648E1,-4.472351074E1,8.580017090E0
4.012620482E1,-2.478790283E1,-4.397430420E1,8.580017090E0
4.013618406E1,-2.628784180E1,-4.397430420E1,9.330749512E0
4.014616331E1,-2.643737793E1,-4.562377930E1,9.480285645E0
4.015614256E1,-2.568817139E1,-4.487457275E1,7.980346680E0
4.016609129E1,-2.523803711E1,-4.547424316E1,8.129882812E0
4.017610106E1,-2.628784180E1,-4.607391357E1,7.080078125E0
4.018608030E1,-2.628784180E1,-4.547424316E1,7.080078125E0
4.019605955E1,-2.553863525E1,-4.502410889E1,9.330749512E0
4.020603880E1,-2.598876953E1,-4.727478027E1,7.380676270E0
4.021601805E1,-2.553863525E1,-4.682464600E1,7.080078125E0
4.022599730E1,-2.658843994E1,-4.652404785E1,9.330749512E0
4.023597654E1,-2.598876953E1,-4.502410889E1,7.080078125E0
4.024595579E1,-2.463836670E1,-4.592437744E1,7.679748535E0
4.025593504E1,-2.553863525E1,-4.607391357E1,8.129882812E0
4.026588377E1,-2.463836670E1,-4.517364502E1,7.231140137E0
4.027586302E1,-2.538757324E1,-4.562377930E1,8.731079102E0
4.028584227E1,-2.373809814E1,-4.472351074E1,7.830810547E0
4.029585203E1,-2.538757324E1,-4.562377930E1,8.731079102E0
4.030583128E1,-2.463836670E1,-4.592437744E1,8.430480957E0
4.031581053E1,-2.478790283E1,-4.472351074E1,7.830810547E0
4.032578978E1,-2.538757324E1,-4.562377930E1,9.780883789E0
4.033579954E1,-2.508850098E1,-4.412384033E1,9.480285645E0
4.034577879E1,-2.598876953E1,-4.472351074E1,7.380676270E0
4.035572752E1,-2.478790283E1,-4.502410889E1,9.930419922E0
4.036570677E1,-2.478790283E1,-4.547424316E1,8.580017090E0
4.037568602E1,-2.508850098E1,-4.517364502E1,9.780883789E0
4.038569578E1,-2.613830566E1,-4.412384033E1,1.098022461E1
4.039576658E1,-2.553863525E1,-4.652404785E1,9.629821777E0
4.040571531E1,-2.658843994E1,-4.472351074E1,8.580017090E0
4.041572508E1,-2.643737793E1,-4.442443848E1,8.430480957E0
4.042570433E1,-2.508850098E1,-4.517364502E1,1.098022461E1
4.043571409E1,-2.598876953E1,-4.577484131E1,8.880615234E0
4.044572386E1,-2.478790283E1,-4.472351074E1,1.038055420E1
4.045573362E1,-2.523803711E1,-4.472351074E1,1.068115234E1
4.046574339E1,-2.403869629E1,-4.547424316E1,9.930419922E0
4.047572264E1,-2.538757324E1,-4.562377930E1,8.731079102E0
4.048576292E1,-2.313842773E1,-4.442443848E1,9.480285645E0
4.049543699E1,-2.463836670E1,-4.562377930E1,8.430480957E0
4.050544676E1,-2.433776855E1,-4.517364502E1,1.023101807E1
4.051542601E1,-2.508850098E1,-4.592437744E1,9.780883789E0
4.052537474E1,-2.508850098E1,-4.487457275E1,9.780883789E0
4.053535399E1,-2.373809814E1,-4.502410889E1,8.880615234E0
4.054533323E1,-2.478790283E1,-4.397430420E1,9.930419922E0
4.055528196E1,-2.388763428E1,-4.517364502E1,9.030151367E0
4.056526121E1,-2.178802490E1,-4.412384033E1,8.731079102E0
4.057524046E1,-2.373809814E1,-4.547424316E1,1.112976074E1
4.058525023E1,-2.538757324E1,-4.562377930E1,1.157989502E1
4.059522947E1,-2.538757324E1,-4.367370605E1,1.023101807E1
4.060520872E1,-2.613830566E1,-4.412384033E1,1.053009033E1
4.061518797E1,-2.553863525E1,-4.322357178E1,1.143035889E1
4.062516722E1,-2.628784180E1,-4.472351074E1,9.629821777E0
4.063514647E1,-2.733764648E1,-4.547424316E1,1.038055420E1
4.064512571E1,-2.508850098E1,-4.517364502E1,1.053009033E1
4.065513548E1,-2.718811035E1,-4.712371826E1,9.480285645E0
4.066514525E1,-2.613830566E1,-4.442443848E1,1.053009033E1
4.067518553E1,-2.448730469E1,-4.397430420E1,1.068115234E1
4.068516478E1,-2.568817139E1,-4.442443848E1,9.780883789E0
4.069517454E1,-2.628784180E1,-4.547424316E1,9.930419922E0
4.070518431E1,-2.658843994E1,-4.397430420E1,1.112976074E1
4.071519407E1,-2.763824463E1,-4.592437744E1,9.780883789E0
4.072520384E1,-2.568817139E1,-4.592437744E1,1.128082275E1
4.073518309E1,-2.628784180E1,-4.472351074E1,1.143035889E1
4.074519285E1,-2.538757324E1,-4.637451172E1,1.128082275E1
4.075489744E1,-2.613830566E1,-4.517364502E1,9.030151367E0
4.076487669E1,-2.613830566E1,-4.367370605E1,1.098022461E1
